MME Name,MME Type,MME Error,Description
0xA0B1,VS_MODULE_OPERATION,0x55,Bad bind to FAC. Default PIB
0xA0B1,VS_MODULE_OPERATION,0x56,Bad bind to template PIB
0xA0B1,VS_MODULE_OPERATION,0x57,Bad bind to working PIB
0xA0B1,VS_MODULE_OPERATION,0x58,Bad Bind Scratch PIB
0xA0B1,VS_MODULE_OPERATION,0x59,Error Generating Checksum Scratch PIB
0xA0B1,VS_MODULE_OPERATION,0x5A,Checksum Error O1 PIB
0xA0B1,VS_MODULE_OPERATION,0x5B,Checksum Error O2 PIB
0xA0B1,VS_MODULE_OPERATION,0x5C,Checksum Error Working PIB
0xA0C1,VS_CONN_ADD,0x03,Invalid Classifier
0xA0C1,VS_CONN_ADD,0x04,Already too many Classifiers
0xA0C1,VS_CONN_ADD,0x05,Classifier exists with different Classification Action
0xA0C1,VS_CONN_ADD,0x07,Link Already in Progress
0xA0C1,VS_CONN_ADD,0x08,Invalid Configuration
0xA0C1,VS_CONN_ADD,0x10,Invalid CSPEC Version
0xA0C1,VS_CONN_ADD,0x11,Invalid CSPEC
0xA0C1,VS_CONN_ADD,0x20,Out of Local Resources
0xA0C1,VS_CONN_ADD,0x30,Invalid Peer
0xA0C1,VS_CONN_ADD,0x31,Peer Confirm Timed out
0xA0C1,VS_CONN_ADD,0x40,Peer rejection
0xA0C5,VS_CONN_MOD,0x01,Invalid Modification Control
0xA0C5,VS_CONN_MOD,0x06,CID Not Found
0xA0C5,VS_CONN_MOD,0x07,Link Update in Progress, try again later
0xA0C9,VS_CONN_REL,0x06,CID Not Found
0xA0C9,VS_CONN_REL,0x07,Link Update in Progress. Try again later
0xA0C9,VS_CONN_REL,0x31,Peer Confirm Timed out
0xA0CD,VS_CONN_INFO,0x01,Invalid Request Type
0xA0CD,VS_CONN_INFO,0x04,Too Many Requests
0xA0CD,VS_CONN_INFO,0x06,CID Not Found
0xA0CD,VS_CONN_INFO,0x10,Invalid CSPEC Version
0xA0CD,VS_CONN_INFO,0x31,Peer Confirm Timed out
